priogrid_gid,pg_xcoord__old,pg_ycoord__old,country_iso_a3__old,admin1_gaul1_code__old,admin1_gaul1_name__old,admin1_gaul0_code__old,admin1_gaul0_name__old,admin2_gaul2_code__old,admin2_gaul2_name__old,pg_xcoord__new,pg_ycoord__new,country_iso_a3__new,admin1_gaul1_code__new,admin1_gaul1_name__new,admin1_gaul0_code__new,admin1_gaul0_name__new,admin2_gaul2_code__new,admin2_gaul2_name__new,presence,change_class
125702,30.75,-2.75,TZA,1684.0,Kagera,166.0,United Republic of Tanzania,106412.0,Ngara,30.75,-2.75,TZA,1684.0,Kagera,166.0,United Republic of Tanzania,106412.0,Ngara,both,identical
125703,31.25,-2.75,TZA,1684.0,Kagera,166.0,United Republic of Tanzania,106406.0,Biharamulo,31.25,-2.75,TZA,1684.0,Kagera,166.0,United Republic of Tanzania,106406.0,Biharamulo,both,identical
125704,31.75,-2.75,TZA,1682.0,Geita,166.0,United Republic of Tanzania,106399.0,Chato,31.75,-2.75,TZA,1682.0,Geita,166.0,United Republic of Tanzania,106399.0,Chato,both,identical
125705,32.25,-2.75,TZA,1682.0,Geita,166.0,United Republic of Tanzania,106400.0,Geita,32.25,-2.75,TZA,1682.0,Geita,166.0,United Republic of Tanzania,106400.0,Geita,both,identical
125706,32.75,-2.75,TZA,1699.0,Mwanza,166.0,United Republic of Tanzania,106477.0,Sengerema,32.75,-2.75,TZA,1699.0,Mwanza,166.0,United Republic of Tanzania,106477.0,Sengerema,both,identical
125707,33.25,-2.75,TZA,1699.0,Mwanza,166.0,United Republic of Tanzania,106473.0,Kwimba,33.25,-2.75,TZA,1699.0,Mwanza,166.0,United Republic of Tanzania,106473.0,Kwimba,both,identical
125708,33.75,-2.75,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106501.0,Bariadi,33.75,-2.75,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106501.0,Bariadi,both,identical
125709,34.25,-2.75,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106503.0,Itilima,34.25,-2.75,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106503.0,Itilima,both,identical
125710,34.75,-2.75,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106503.0,Itilima,34.75,-2.75,TZA,1705.0,Simiyu,166.0,United Republic of Tanzania,106503.0,Itilima,both,identical
125711,35.25,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,35.25,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,both,identical
125712,35.75,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,35.75,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106385.0,Ngorongoro,both,identical
125713,36.25,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106383.0,Longido,36.25,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106383.0,Longido,both,identical
125714,36.75,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106383.0,Longido,36.75,-2.75,TZA,1679.0,Arusha,166.0,United Republic of Tanzania,106383.0,Longido,both,identical
125715,37.25,-2.75,KEN,1362.0,Kajiado,137.0,Kenya,103582.0,Kajiado South,37.25,-2.75,KEN,1362.0,Kajiado,137.0,Kenya,103582.0,Kajiado South,both,identical
125716,37.75,-2.75,KEN,1362.0,Kajiado,137.0,Kenya,103582.0,Kajiado South,37.75,-2.75,KEN,1362.0,Kajiado,137.0,Kenya,103582.0,Kajiado South,both,identical
125717,38.25,-2.75,KEN,1375.0,Makueni,137.0,Kenya,103667.0,Kibwezi East,38.25,-2.75,KEN,1375.0,Makueni,137.0,Kenya,103667.0,Kibwezi East,both,identical
125718,38.75,-2.75,KEN,1370.0,Kitui,137.0,Kenya,103644.0,Kitui South,38.75,-2.75,KEN,1370.0,Kitui,137.0,Kenya,103644.0,Kitui South,both,identical
125719,39.25,-2.75,KEN,1392.0,Tana River,137.0,Kenya,103782.0,Garsen,39.25,-2.75,KEN,1392.0,Tana River,137.0,Kenya,103782.0,Garsen,both,identical
